orig_name,dest_name,d_time,d_dur_traf,d_dist,t_time,t_dist,t_fare
University District,Ballard,1145,1210,7407,1946.0,7520.0,2.75
University District,Fremont,657,695,3750,1277.0,3877.0,2.75
University District,Campus Parkway,247,244,859,548.0,1209.0,0.0
University District,Northgate,580,568,6581,1376.0,6090.0,2.75
University District,Broadview,990,1003,11673,3029.0,10843.0,2.75
University District,Crown Hill,932,938,7920,2259.0,7997.0,2.75
University District,Greenwood,780,789,6878,2175.0,6878.0,2.75
University District,Lake City,722,723,7729,2390.0,12094.0,2.75
University District,North Green Lake,572,565,5700,1429.0,4542.0,2.75
Ballard,University District,1155,1185,7373,2383.0,7551.0,2.75
Ballard,Fremont,695,760,4941,1568.0,5244.0,2.75
Ballard,Campus Parkway,1142,1229,7993,2472.0,9388.0,2.75
Ballard,Northgate,985,984,7264,1926.0,7250.0,2.75
Ballard,Broadview,752,765,6571,2344.0,7472.0,2.75
Ballard,Crown Hill,406,422,2980,675.0,3102.0,2.75
Ballard,Greenwood,572,575,4124,1494.0,5006.0,2.75
Ballard,Lake City,1236,1283,11786,2610.0,12999.0,2.75
Ballard,North Green Lake,656,677,4883,2349.0,6207.0,2.75
Fremont,University District,650,682,3754,1844.0,3902.0,2.75
Fremont,Ballard,662,679,4998,1222.0,5357.0,2.75
Fremont,Campus Parkway,510,530,3221,1381.0,4616.0,2.75
Fremont,Northgate,869,877,8994,2801.0,10541.0,2.75
Fremont,Broadview,962,964,8697,2090.0,8790.0,2.75
Fremont,Crown Hill,742,729,5993,1666.0,8168.0,2.75
Fremont,Greenwood,682,686,5841,1113.0,5303.0,2.75
Fremont,Lake City,1010,1033,10142,3122.0,16136.0,2.75
Fremont,North Green Lake,391,381,4313,1597.0,4202.0,2.75
Campus Parkway,University District,249,257,870,595.0,1213.0,2.75
Campus Parkway,Ballard,1131,1206,8535,2402.0,8755.0,2.75
Campus Parkway,Fremont,546,611,3384,1067.0,3717.0,2.75
Campus Parkway,Northgate,640,641,6909,1500.0,6792.0,2.75
Campus Parkway,Broadview,1050,1074,12001,3351.0,11800.0,2.75
Campus Parkway,Crown Hill,992,1016,8248,2883.0,11566.0,2.75
Campus Parkway,Greenwood,840,867,7206,2374.0,8313.0,2.75
Campus Parkway,Lake City,781,796,8057,1633.0,9226.0,2.75
Campus Parkway,North Green Lake,673,716,6235,1654.0,5093.0,2.75
Northgate,University District,613,734,7010,1704.0,6183.0,2.75
Northgate,Ballard,983,988,7128,1985.0,7218.0,2.75
Northgate,Fremont,768,779,8241,3069.0,18098.0,2.75
Northgate,Campus Parkway,637,800,7531,1728.0,6798.0,2.75
Northgate,Broadview,616,607,4686,2954.0,10797.0,2.75
Northgate,Crown Hill,682,656,4237,1376.0,4377.0,2.75
Northgate,Greenwood,549,515,3627,1739.0,3643.0,2.75
Northgate,Lake City,396,404,3345,517.0,2921.0,2.75
Northgate,North Green Lake,431,418,4571,1631.0,3962.0,2.75
Broadview,University District,984,1115,11496,3767.0,10191.0,2.75
Broadview,Ballard,712,750,6566,2730.0,7473.0,2.75
Broadview,Fremont,1013,1048,9343,2541.0,8711.0,2.75
Broadview,Campus Parkway,1008,1181,12017,4029.0,10941.0,2.75
