Name,Typology,Current Conditions,Future Needs & Priorities,District,Neighborhood Plan,Status Check,City Planning,Major Transit project?
University District,Mixed Use Center future,Has a core employment population,,Northeast,http://www.seattle.gov/neighborhoods/npi/plans/university/,http://www.seattle.gov/planningcommission/docs/UniversityCommunityExecSummary.pdf,,http://projects.soundtransit.org/Projects-Home/North-Link/Brooklyn-Station.xml
Ballard,Mixed use Center local,"High population, S edge is industrial",Ballard is a “new urban center” Combine districts keeping identities separate,Ballard,http://www.seattle.gov/neighborhoods/npi/plans/chill/,http://www.seattle.gov/planningcommission/docs/CHBExecSummary.pdf,http://www.seattle.gov/dpd/Planning/BallardURV/Overview/default.asp,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/DLine.aspx
Fremont,Mixed Use Center local,24 hr neighborhood,,Lake Union,http://www.seattle.gov/neighborhoods/npi/plans/fremont/,http://www.seattle.gov/planningcommission/docs/FremontExecSummary.pdf,http://www.seattle.gov/dpd/Planning/FremontUrbanVillageRezone/Overview/default.asp,
Campus Parkway - combined with University District?,Mixed Use Center regional,Major gateway to UW with many admin buildings and libraries; also some medical areas to the south along Pacific; numerous dormatories,Focus on this district being a transit node with minor MUC-R,Northeast,,,,
Northgate,Mixed Use Center regional,Regional draw; medical and retail employment center,,North,http://www.seattle.gov/neighborhoods/npi/plans/northgate/,,http://www.seattle.gov/DPD/Planning/Northgate_Revitalization/Overview/,http://projects.soundtransit.org/Projects-Home/North-Link/Northgate-Station.xml
Broadview,Mixed Use Neighborhood,Consider renaming this district,May become a MUC-L if it is served by fixed rail in the future,Northwest,http://www.seattle.gov/neighborhoods/npi/plans/broadview/,http://www.seattle.gov/planningcommission/docs/BBLHLExecSummary.pdf,http://www.seattle.gov/dpd/Planning/Neighborhood_Planning/NeighborhoodPlanUpdates/BroadviewBitterLakeHallerLake/default.asp,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/ELine.aspx
Crown Hill,Mixed Use Neighborhood,Large format parcels,,Ballard,http://www.seattle.gov/neighborhoods/npi/plans/chill/,http://www.seattle.gov/planningcommission/docs/CHBExecSummary.pdf,,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/DLine.aspx
Greenwood,Mixed Use Neighborhood,Large format parcels and developments; walkability exists,Potential for more residential,Northwest,http://www.seattle.gov/neighborhoods/npi/plans/greenwood/,http://www.seattle.gov/planningcommission/docs/GPRExecSummary.pdf,http://www.seattle.gov/dpd/Planning/GreenwoodRezone/Overview/default.asp,
Lake City,Mixed Use Neighborhood,Predominantly residential    ,,North,http://www.seattle.gov/neighborhoods/npi/plans/north/,http://www.seattle.gov/planningcommission/docs/LakeCityExecSummary.pdf,,
North Green Lake,Mixed Use Neighborhood,,Expand district to the south.,Northwest,http://www.seattle.gov/neighborhoods/npi/plans/aurlict/,http://www.seattle.gov/planningcommission/docs/ALSExecSummary.pdf,http://www.seattle.gov/dpd/Planning/Aurora/Overview/,http://www.kingcounty.gov/transportation/kcdot/MetroTransit/RapidRide/ELine.aspx
