lat,long,name,name_input
47.6627771,-122.3138767,University District,"University District Seattle, WA"
47.6792172,-122.3860312,Ballard,"Ballard Seattle, WA"
47.6541773,-122.3500004,Fremont,"Fremont Seattle, WA"
47.6560107,-122.3155883,Northeast Campus Parkway,"Campus Parkway Seattle, WA"
47.7085904,-122.3232354,Northgate,"Northgate Seattle, WA"
47.7207482,-122.3675322,Broadview,"Broadview Seattle, WA"
47.6960622,-122.3717983,Crown Hill,"Crown Hill Seattle, WA"
47.6968728,-122.3561758,Greenwood,"Greenwood Seattle, WA"
47.7192927,-122.2951857,Lake City,"Lake City Seattle, WA"
47.6832106,-122.3401639,West Green Lake Drive North,"North Green Lake Seattle, WA"
47.7003596,-122.3547459,North Greenwood Circle,"North Greenwood Seattle, WA"
47.7026899,-122.3425587,10008,"Oaktree Seattle, WA"
47.6780881,-122.3156459,Roosevelt,"Roosevelt Seattle, WA"
47.6503747,-122.301594,3800,"Husky Stadium Seattle, WA"
47.6406735,-122.3821101,Interbay,"Interbay Seattle, WA"
47.619053,-122.340936,Denny Park,"Denny Park Seattle, WA"
47.63219669999999,-122.3416265,Westlake,"Westlake Seattle, WA"
47.5982725,-122.3305034,Seattle Amtrak King St Station,"King Street Station Seattle, WA"
47.6026614,-122.338336,801,"Colman Dock Seattle, WA"
47.6255703,-122.3343877,South Lake Union,"South Lake Union Seattle, WA"
47.6241399,-122.3563097,Lower Queen Anne,"Uptown Seattle, WA"
47.5794781,-122.3131876,South Lander Street,"Lander Seattle, WA"
47.5951518,-122.3316394,800,"Stadium Seattle, WA"
47.625305,-122.3221835,Capitol Hill,"Capitol Hill Seattle, WA"
47.6103826,-122.312833,15th Avenue,"15th Ave Seattle, WA"
47.6346093,-122.2796452,Madison Park,"Madison Seattle, WA"
47.6087583,-122.2964235,Central District,"Central Seattle, WA"
47.6138303,-122.3194664,Pike/Pine,"Pike/Pine Seattle, WA"
47.609369,-122.3250359,First Hill,"First Hill Seattle, WA"
47.6028027,-122.3196872,Yesler Terrace,"Yesler Terrace Seattle, WA"
47.5178459,-122.3553493,9454,"West Seattle Junction/Triangle Seattle, WA"
47.545738,-122.3874618,Morgan Junction,"Morgan Junction Seattle, WA"
47.52146579999999,-122.367496,E6,"Westwood Seattle, WA"
47.5173789,-122.3652211,Southwest Roxbury Street,"Roxbury Seattle, WA"
47.5811956,-122.3865523,North Admiral,"Admiral Seattle, WA"
47.5794213,-122.3113231,North Beacon Hill,"North Beacon Hill Seattle, WA"
47.5774766,-122.2973716,Rainier Ave S & Mt Baker TC,"Mt. Baker Station Seattle, WA"
47.5597458,-122.2928187,Columbia City Station,"Columbia City Station Seattle, WA"
47.5380037,-122.2814924,Othello,"Othello Station Seattle, WA"
47.512255,-122.2639761,Rainier Beach,"Rainier Beach Seattle, WA"
47.6147023,-122.3447964,Belltown,"Belltown Seattle, WA"
47.6100287,-122.3027455,23rd Avenue,"23rd Ave S & S Jackson St Seattle, WA"
