lat,long,name,name_input,orig_name,time_diff_percent,traffic_diff_percent,drive_speed,drive_speed_peak,transit_speed,region
47.6627771,-122.3138767,University District,University District,University District,1.525268224,0.13615084,10.2769283,9.026167834,10.71797572,North
47.6792172,-122.3860312,Ballard,Ballard,Ballard,1.232921171,0.115232942,9.280333743,8.309951805,9.315141222,North
47.6541773,-122.3500004,Fremont,Fremont,Fremont,1.691589445,0.123274088,10.05310756,8.941549417,10.90289457,North
47.6560107,-122.3155883,Northeast Campus Parkway,Campus Parkway,Campus Parkway,1.317406516,0.138617245,9.937345853,8.688389886,10.05358984,North
47.7085904,-122.3232354,Northgate,Northgate,Northgate,1.927442746,0.246540285,13.37943391,10.52499087,14.47155876,North
47.7207482,-122.3675322,Broadview,Broadview,Broadview,2.655346006,0.158273083,12.197639,10.41460949,12.68780626,North
47.6960622,-122.3717983,Crown Hill,Crown Hill,Crown Hill,1.633253557,0.15015777,10.00795808,8.643701845,10.19494472,North
47.6968728,-122.3561758,Greenwood,Greenwood,Greenwood,1.974648184,0.204669468,10.76834947,8.874234314,11.1313916,North
47.7192927,-122.2951857,Lake City,Lake City,Lake City,1.771889047,0.19218714,13.00091364,10.79701597,14.49696881,North
47.6832106,-122.3401639,West Green Lake Drive North,North Green Lake,North Green Lake,1.948390579,0.190744831,11.13511601,9.219135308,11.65269251,North
47.7003596,-122.3547459,North Greenwood Circle,North Greenwood,North Greenwood,1.912899101,0.203470276,10.92225689,9.005279775,11.27883584,North
47.7026899,-122.3425587,10008,Oaktree,Oaktree,1.850523353,0.220883959,11.73992548,9.442199015,12.08330219,North
47.6780881,-122.3156459,Roosevelt,Roosevelt,Roosevelt,2.100943219,0.234394169,11.99801233,9.569278559,12.17448952,North
47.6503747,-122.301594,3800,Husky Stadium,Husky Stadium,1.322150298,0.186817021,11.37364669,9.573182965,11.63763976,North
47.6406735,-122.3821101,Interbay,Interbay,Interbay,1.68062545,0.128360485,8.175413408,7.266447312,9.790231105,Central
47.5779841,-122.3287081,2762,Denny,Denny,1.340791399,0.237333085,9.653335878,7.918614212,10.17475132,South
47.6321967,-122.3416265,Westlake,Westlake,Westlake,1.424961466,0.101582515,9.160226048,8.355936512,9.586783503,Central
47.5982725,-122.3305034,Seattle Amtrak King St Station,King Street Station,King Street Station,1.148791281,0.08963852,8.923504139,8.219061509,8.920971481,Central
47.6026614,-122.338336,801,Colman Dock,Colman Dock,1.071514975,0.035993754,8.297334903,8.018131998,8.247097908,Central
47.6255703,-122.3343877,South Lake Union,South Lake Union,South Lake Union,2.186487995,0.088573898,11.14188991,10.26401694,11.24158908,Central
47.6241399,-122.3563097,Lower Queen Anne,Uptown,Uptown,1.462021074,0.108754272,9.151637956,8.294284448,9.990576283,Central
47.5794781,-122.3131876,South Lander Street,Lander,Lander,1.415978059,0.209774381,10.56850913,8.687828828,11.65876759,South
47.5951518,-122.3316394,800,Stadium,Stadium,1.255004448,0.065451647,8.806532135,8.272194522,8.897112055,Central
47.625305,-122.3221835,Capitol Hill,Capitol Hill,Capitol Hill,1.55688276,0.062909174,9.069593517,8.538741027,10.16015566,Central
47.6103826,-122.312833,15th Avenue,15th Ave,15th Ave,1.68067272,0.073264626,8.543626235,7.998674841,8.629252683,Central
47.6346093,-122.2796452,Madison Park,Madison,Madison,1.454118494,0.057096149,8.059213129,7.655692175,9.415494353,Central
47.6087583,-122.2964235,Central District,Central,Central,1.572959701,0.106966351,8.761170511,8.006634153,9.329600048,Central
47.6138303,-122.3194664,Pike/Pine,Pike/Pine,Pike/Pine,1.403465625,0.017295429,8.574494801,8.437735062,9.042841619,Central
47.609369,-122.3250359,First Hill,First Hill,First Hill,1.645323112,0.066195363,9.823809129,9.26968813,10.11909602,Central
47.6028027,-122.3196872,Yesler Terrace,Yesler Terrace,Yesler Terrace,1.526763978,0.082032171,9.221830786,8.67533302,9.537134202,Central
47.563015,-122.386432,4210,West Seattle Junction/Triangle,West Seattle Junction/Triangle,1.69520851,0.505638235,12.33659821,8.214103861,13.92339589,West
47.545738,-122.3874618,Morgan Junction,Morgan Junction,Morgan Junction,1.541599847,0.411806127,11.70988567,8.269997043,13.46960117,West
47.5214658,-122.367496,E6,Westwood,Westwood,1.844570996,0.189520122,13.10956954,10.89784698,13.24288805,West
47.5173789,-122.3652211,Southwest Roxbury Street,Roxbury,Roxbury,1.7380337,0.369485117,12.21852481,8.95735384,14.27323328,West
47.5811956,-122.3865523,North Admiral,Admiral,Admiral,2.411599711,0.552148026,13.261251,8.577926331,15.29963349,West
47.5794213,-122.3113231,North Beacon Hill,North Beacon Hill,North Beacon Hill,1.176454425,0.191689432,9.966558881,8.321399377,11.05982561,South
47.5774766,-122.2973716,Rainier Ave S & Mt Baker TC,Mt. Baker Station,Mt. Baker Station,1.126776992,0.169980948,9.245156698,7.969714168,10.74970765,South
47.5597458,-122.2928187,Columbia City Station,Columbia City Station,Columbia City Station,0.990442957,0.26871183,10.6224441,8.379422244,11.76098712,South
47.5380037,-122.2814924,Othello Station,Othello Station,Othello Station,1.112242603,0.446348664,12.21783931,8.468963992,13.55906116,South
47.512255,-122.2639761,Rainier Beach,Rainier Beach,Rainier Beach,2.00588073,0.424068557,14.28577207,10.02809365,14.23006428,South
47.6147023,-122.3447964,Belltown,Belltown,Belltown,0.91821681,0.036758098,8.540838748,8.238587781,8.654936994,Central
